Номер отсчёта;Время, с;Напряжение 1_19.06_lmax, В
0;-99,98;0
1;-99,96;0
2;-99,94;0
3;-99,92;0
4;-99,9;0
5;-99,88;0
6;-99,86;0
7;-99,84;0
8;-99,82;0
9;-99,8;0
10;-99,78;0
11;-99,76;0
12;-99,74;0
13;-99,72;0
14;-99,7;0
15;-99,68;0
16;-99,66;0
17;-99,64;0
18;-99,62;0
19;-99,6;0
20;-99,58;0
21;-99,56;0
22;-99,54;0
23;-99,52;0
24;-99,5;0
25;-99,48;0
26;-99,46;0
27;-99,44;0
28;-99,42;0
29;-99,4;0
30;-99,38;0
31;-99,36;0
32;-99,34;0
33;-99,32;0
34;-99,3;0
35;-99,28;0
36;-99,26;0
37;-99,24;0
38;-99,22;0
39;-99,2;0
40;-99,18;0
41;-99,16;0
42;-99,14;0
43;-99,12;0
44;-99,1;0
45;-99,08;0
46;-99,06;0
47;-99,04;0
48;-99,02;0
49;-99;0
50;-98,98;0
51;-98,96;0
52;-98,94;0
53;-98,92;0
54;-98,9;0
55;-98,88;0
56;-98,86;0
57;-98,84;0
58;-98,82;0
59;-98,8;0
60;-98,78;0
61;-98,76;0
62;-98,74;0
63;-98,72;0
64;-98,7;0
65;-98,68;0
66;-98,66;0
67;-98,64;0
68;-98,62;0
69;-98,6;0
70;-98,58;0,0212
71;-98,56;0,0208
72;-98,54;0,0212
73;-98,52;0,0212
74;-98,5;0,0212
75;-98,48;0,0212
76;-98,46;0,0212
77;-98,44;0,0204
78;-98,42;0,0212
79;-98,4;0,0208
80;-98,38;0,0212
81;-98,36;0,0212
82;-98,34;0,0216
83;-98,32;0,0212
84;-98,3;0,0212
85;-98,28;0,0216
86;-98,26;0,0212
87;-98,24;0,0212
88;-98,22;0,0208
89;-98,2;0,0208
90;-98,18;0,0212
91;-98,16;0,0204
92;-98,14;0,0208
93;-98,12;0,0208
94;-98,1;0,0212
95;-98,08;0,0204
96;-98,06;0,0204
97;-98,04;0,0204
98;-98,02;0,0204
99;-98;0,0208
100;-97,98;0,0212
101;-97,96;0,0224
102;-97,94;0,0212
103;-97,92;0,0204
104;-97,9;0,0204
105;-97,88;0,0208
106;-97,86;0,0204
107;-97,84;0,0196
108;-97,82;0,0208
109;-97,8;0,0216
110;-97,78;0,0228
111;-97,76;0,0216
112;-97,74;0,0216
113;-97,72;0,0208
114;-97,7;0,0208
115;-97,68;0,0212
116;-97,66;0,0212
117;-97,64;0,0224
118;-97,62;0,0216
119;-97,6;0,0212
120;-97,58;0,0216
121;-97,56;0,0212
122;-97,54;0,0212
123;-97,52;0,0212
124;-97,5;0,0216
125;-97,48;0,0208
126;-97,46;0,0208
127;-97,44;0,0208
128;-97,42;0,0208
129;-97,4;0,0208
130;-97,38;0,0216
131;-97,36;0,0208
132;-97,34;0,0212
133;-97,32;0,0208
134;-97,3;0,0212
135;-97,28;0,0208
136;-97,26;0,0208
137;-97,24;0,0204
138;-97,22;0,0224
139;-97,2;0,0212
140;-97,18;0,0208
141;-97,16;0,0212
142;-97,14;0,0224
143;-97,12;0,0208
144;-97,1;0,0212
145;-97,08;0,0204
146;-97,06;0,0212
147;-97,04;0,0216
148;-97,02;0,024
149;-97;0,0216
150;-96,98;0,0216
151;-96,96;0,0216
152;-96,94;0,0228
153;-96,92;0,024
154;-96,9;0,0228
155;-96,88;0,0224
156;-96,86;0,0224
157;-96,84;0,0216
158;-96,82;0,0212
159;-96,8;0,0216
160;-96,78;0,0212
161;-96,76;0,0216
162;-96,74;0,0228
163;-96,72;0,0224
164;-96,7;0,0216
165;-96,68;0,0228
166;-96,66;0,0232
167;-96,64;0,0224
168;-96,62;0,0228
169;-96,6;0,0228
170;-96,58;0,0224
171;-96,56;0,0224
172;-96,54;0,0228
173;-96,52;0,0228
174;-96,5;0,0232
175;-96,48;0,0232
176;-96,46;0,0232
177;-96,44;0,0224
178;-96,42;0,0232
179;-96,4;0,0224
180;-96,38;0,0228
181;-96,36;0,0232
182;-96,34;0,024
183;-96,32;0,0244
184;-96,3;0,0228
185;-96,28;0,024
186;-96,26;0,0232
187;-96,24;0,0224
188;-96,22;0,0224
189;-96,2;0,0232
190;-96,18;0,0232
191;-96,16;0,0232
192;-96,14;0,0228
193;-96,12;0,0228
194;-96,1;0,0224
195;-96,08;0,0228
196;-96,06;0,0232
197;-96,04;0,0232
198;-96,02;0,024
199;-96;0,0232
200;-95,98;0,0232
201;-95,96;0,0228
202;-95,94;0,0228
203;-95,92;0,0232
204;-95,9;0,0228
205;-95,88;0,0232
206;-95,86;0,0228
207;-95,84;0,024
208;-95,82;0,0232
209;-95,8;0,0244
210;-95,78;0,024
211;-95,76;0,0228
212;-95,74;0,0212
213;-95,72;0,0224
214;-95,7;0,0228
215;-95,68;0,0224
216;-95,66;0,0224
217;-95,64;0,0228
218;-95,62;0,024
