Номер отсчёта;Время, с;Напряжение 2_19.06_lmax-1, В
0;-99,98;0
1;-99,96;0
2;-99,94;0
3;-99,92;0
4;-99,9;0
5;-99,88;0
6;-99,86;0
7;-99,84;0
8;-99,82;0
9;-99,8;0
10;-99,78;0,0244
11;-99,76;0,0256
12;-99,74;0,0244
13;-99,72;0,0248
14;-99,7;0,0244
15;-99,68;0,0248
16;-99,66;0,0244
17;-99,64;0,0248
18;-99,62;0,0248
19;-99,6;0,0248
20;-99,58;0,0244
21;-99,56;0,0248
22;-99,54;0,024
23;-99,52;0,024
24;-99,5;0,024
25;-99,48;0,0244
26;-99,46;0,024
27;-99,44;0,0244
28;-99,42;0,0244
29;-99,4;0,0248
30;-99,38;0,0244
31;-99,36;0,0244
32;-99,34;0,0248
33;-99,32;0,0244
34;-99,3;0,0244
35;-99,28;0,024
36;-99,26;0,0232
37;-99,24;0,0244
38;-99,22;0,0244
39;-99,2;0,0248
40;-99,18;0,0244
41;-99,16;0,0248
42;-99,14;0,0248
43;-99,12;0,0248
44;-99,1;0,0244
45;-99,08;0,0256
46;-99,06;0,0244
47;-99,04;0,0244
48;-99,02;0,0248
49;-99;0,0244
50;-98,98;0,0212
51;-98,96;0,0224
52;-98,94;0,0224
53;-98,92;0,0248
54;-98,9;0,0244
55;-98,88;0,0256
56;-98,86;0,0248
57;-98,84;0,0244
58;-98,82;0,0232
59;-98,8;0,0248
60;-98,78;0,0264
61;-98,76;0,0256
62;-98,74;0,0248
63;-98,72;0,0256
64;-98,7;0,0264
65;-98,68;0,0272
66;-98,66;0,026
67;-98,64;0,026
68;-98,62;0,026
69;-98,6;0,0256
70;-98,58;0,026
71;-98,56;0,026
72;-98,54;0,0248
73;-98,52;0,0248
74;-98,5;0,0228
75;-98,48;0,0232
76;-98,46;0,0228
77;-98,44;0,024
78;-98,42;0,0224
79;-98,4;0,024
80;-98,38;0,0224
81;-98,36;0,024
82;-98,34;0,0212
83;-98,32;0,018
84;-98,3;0,0232
85;-98,28;0,0244
86;-98,26;0,0256
87;-98,24;0,0248
88;-98,22;0,0256
89;-98,2;0,0248
90;-98,18;0,0256
91;-98,16;0,0244
92;-98,14;0,0244
93;-98,12;0,0244
94;-98,1;0,0244
95;-98,08;0,0248
96;-98,06;0,0248
97;-98,04;0,0244
98;-98,02;0,0248
99;-98;0,0256
100;-97,98;0,0248
101;-97,96;0,0248
102;-97,94;0,0244
103;-97,92;0,0248
104;-97,9;0,0248
105;-97,88;0,0244
106;-97,86;0,0256
107;-97,84;0,0244
108;-97,82;0,0244
109;-97,8;0,0248
110;-97,78;0,0244
111;-97,76;0,0244
112;-97,74;0,0244
113;-97,72;0,0248
114;-97,7;0,0244
115;-97,68;0,0248
116;-97,66;0,0248
117;-97,64;0,0244
118;-97,62;0,0244
119;-97,6;0,0248
120;-97,58;0,0244
121;-97,56;0,0248
122;-97,54;0,0248
123;-97,52;0,0248
124;-97,5;0,0244
125;-97,48;0,0228
126;-97,46;0,0216
127;-97,44;0,0228
128;-97,42;0,024
129;-97,4;0,0248
130;-97,38;0,024
131;-97,36;0,0244
132;-97,34;0,0248
133;-97,32;0,0256
134;-97,3;0,0248
135;-97,28;0,0248
136;-97,26;0,024
137;-97,24;0,0232
138;-97,22;0,0224
139;-97,2;0,0248
140;-97,18;0,0248
141;-97,16;0,0256
142;-97,14;0,0256
143;-97,12;0,0256
144;-97,1;0,0232
145;-97,08;0,026
146;-97,06;0,024
147;-97,04;0,0248
148;-97,02;0,0244
149;-97;0,026
150;-96,98;0,0256
151;-96,96;0,0256
152;-96,94;0,0248
153;-96,92;0,0248
154;-96,9;0,0256
155;-96,88;0,0256
156;-96,86;0,0228
157;-96,84;0,0244
158;-96,82;0,0244
159;-96,8;0,0248
160;-96,78;0,0244
161;-96,76;0,0248
162;-96,74;0,0248
163;-96,72;0,0256
164;-96,7;0,0244
165;-96,68;0,0248
166;-96,66;0,0248
167;-96,64;0,0256
168;-96,62;0,0248
169;-96,6;0,0248
170;-96,58;0,0256
171;-96,56;0,0244
172;-96,54;0,0248
173;-96,52;0,0256
174;-96,5;0,0244
175;-96,48;0,0248
176;-96,46;0,0256
177;-96,44;0,0244
178;-96,42;0,0244
179;-96,4;0,0244
180;-96,38;0,024
181;-96,36;0,0248
182;-96,34;0,0248
183;-96,32;0,0248
184;-96,3;0,0256
185;-96,28;0,0256
186;-96,26;0,026
187;-96,24;0,0248
188;-96,22;0,0248
189;-96,2;0,0248
190;-96,18;0,026
191;-96,16;0,0256
192;-96,14;0,026
193;-96,12;0,026
194;-96,1;0,0264
195;-96,08;0,0264
196;-96,06;0,0264
197;-96,04;0,026
198;-96,02;0,0264
199;-96;0,0272
200;-95,98;0,0264
201;-95,96;0,026
202;-95,94;0,0248
203;-95,92;0,0256
204;-95,9;0,0256
205;-95,88;0,0232
